complexity,cost,feature_complexity,feature_cost,freqs
16.0,0.0,10,0.0,136.0
15.0,0.00841,9,0.0,63.0
16.0,0.00841,9,0.0,61.0
16.0,0.019994,8,0.0,56.0
16.0,0.00841,9,0.0,50.0
13.0,0.01682,8,0.0,49.0
16.0,0.019994,8,0.0,48.0
15.0,0.00841,9,0.0,15.0
14.0,0.01682,8,0.0,12.0
16.0,0.019994,8,0.0,11.0
16.0,0.019994,8,0.0,8.0
12.0,0.03364,7,0.0,3.0
15.0,0.007663,9,0.0015324922671683982,3.0
14.0,0.016073,8,0.0015324922671683982,3.0
14.0,0.016073,8,0.0015324922671683982,2.0
15.0,0.027657,7,0.0015324922671683982,2.0
16.0,0.018822,8,0.0020823654965893604,1.0
15.0,0.027232,7,0.0020823654965893604,1.0
16.0,0.007663,9,0.0015324922671683982,1.0
14.0,0.016073,8,0.0015324922671683982,1.0
15.0,0.016073,8,0.0015324922671683982,1.0
15.0,0.027657,7,0.0015324922671683982,1.0
16.0,0.018822,8,0.0020823654965893604,1.0
14.0,0.027232,7,0.0020823654965893604,
16.0,0.018822,8,0.0020823654965893604,
15.0,0.027232,7,0.0020823654965893604,
16.0,0.03217,7,0.002434987314493744,
15.0,0.047119,6,0.002695544270070782,
15.0,0.007008,9,0.0,
12.0,0.015418,8,0.0,
14.0,0.015418,8,0.0,
14.0,0.027002,7,0.0,
14.0,0.015418,8,0.0,
12.0,0.023828,7,0.0,
14.0,0.027002,7,0.0,
14.0,0.015418,8,0.0,
11.0,0.023828,7,0.0,
15.0,0.027002,7,0.0,
15.0,0.027002,7,0.0,
11.0,0.040648,6,0.0,
16.0,0.01771,8,0.0021402864816817717,
15.0,0.02612,7,0.0021402864816817717,
15.0,0.02612,7,0.0021402864816817717,
16.0,0.037704,6,0.0021402864816817717,
15.0,0.007663,9,0.0015324922671683982,
14.0,0.015326,8,0.0030649845343367964,
14.0,0.016073,8,0.0015324922671683982,
14.0,0.015326,8,0.0030649845343367964,
15.0,0.026485,7,0.0036148577637577584,
14.0,0.016073,8,0.0015324922671683982,
13.0,0.023736,7,0.0030649845343367964,
15.0,0.027657,7,0.0015324922671683982,
15.0,0.026485,7,0.0036148577637577584,
15.0,0.039833,6,0.003967479581662142,
16.0,0.018822,8,0.0020823654965893604,
15.0,0.026485,7,0.003614857763757759,
15.0,0.027232,7,0.0020823654965893604,
16.0,0.037645,6,0.004164730993178721,
16.0,0.01183,8,0.0021402864816817717,
15.0,0.02024,7,0.0021402864816817717,
15.0,0.02024,7,0.0021402864816817717,
16.0,0.031824,6,0.0021402864816817717,
11.0,0.030744,7,0.0030649845343367972,
10.0,0.039154,6,0.0030649845343367972,
16.0,0.01771,8,0.0021402864816817717,
14.0,0.02612,7,0.0021402864816817717,
15.0,0.02612,7,0.0021402864816817717,
14.0,0.037704,6,0.0021402864816817717,
14.0,0.045453,6,0.003689979935918384,
16.0,0.007663,9,0.0015324922671683982,
14.0,0.015326,8,0.0030649845343367964,
15.0,0.016073,8,0.0015324922671683982,
