complexity,cost,feature_cost,freqs
6.0,0.041696,0.004768443595246574,151
7.0,0.187231,0.1332581397595008,143
4.0,0.083392,0.025577605684007406,88
3.0,0.333407,0.24207984818855338,65
9.0,0.020848,0.003817633317039487,63
7.0,0.041696,0.02367598512759323,15
10.0,0.0,0.0028668230388324005,14
9.0,0.041696,0.004708678377759272,7
8.0,0.187231,0.1331983745420135,4
9.0,0.020848,0.013271404083212816,4
9.0,0.020848,0.013271404083212816,2
9.0,0.020848,0.003817633317039487,1
11.0,0.103959,0.07830227317734811,1
