complexity,cost,feature_cost
18.0,0.0,0.0
17.0,0.010424,0.0017372662083240931
17.0,0.0,0.0008686331041620466
19.0,0.010424,0.003769737379603338
17.0,0.0,0.0008686331041620466
14.0,0.0,0.0017372662083240931
19.0,0.010424,0.003769737379603338
17.0,0.010424,0.0017372662083240931
15.0,0.020848,0.0034745324166481862
19.0,0.010424,0.003409222068261103
19.0,0.010424,0.003409222068261103
13.0,0.020848,0.00521179862497228
17.0,0.010424,0.0017372662083240931
16.0,0.010424,0.0026058993124861395
16.0,0.020848,0.0034745324166481862
18.0,0.020848,0.005146488276585196
17.0,0.0,0.0026058993124861395
16.0,0.010424,0.004343165520810233
16.0,0.0,0.0034745324166481862
18.0,0.010424,0.006375636692089478
18.0,0.010424,0.003769737379603338
15.0,0.010424,0.004638370483765385
19.0,0.010424,0.005802208550882583
18.0,0.020848,0.007539474759206677
17.0,0.010424,0.0017372662083240931
15.0,0.020848,0.0034745324166481862
16.0,0.010424,0.0026058993124861395
17.0,0.010424,0.004343165520810233
16.0,0.020848,0.0055070035879274315
16.0,0.020848,0.0034745324166481862
14.0,0.031272,0.00521179862497228
18.0,0.020848,0.005146488276585196
19.0,0.020848,0.007539474759206677
17.0,0.010424,0.0017372662083240931
16.0,0.020848,0.0034745324166481862
16.0,0.010424,0.0026058993124861395
18.0,0.020848,0.0055070035879274315
16.0,0.010424,0.0026058993124861395
13.0,0.010424,0.0034745324166481862
18.0,0.020848,0.0055070035879274315
16.0,0.020848,0.0034745324166481862
14.0,0.031272,0.00521179862497228
18.0,0.020848,0.005146488276585196
18.0,0.020848,0.005146488276585196
12.0,0.031272,0.006949064833296373
14.0,0.041696,0.006949064833296373
13.0,0.05212,0.008686331041620466
20.0,0.010424,0.006162723862224819
19.0,0.020848,0.007899990070548911
19.0,0.010424,0.007031356966386865
19.0,0.020848,0.009932461241828157
17.0,0.0,0.0026058993124861395
17.0,0.010424,0.004343165520810233
16.0,0.0,0.0034745324166481862
15.0,0.0,0.00521179862497228
16.0,0.010424,0.006375636692089478
16.0,0.010424,0.004343165520810233
14.0,0.010424,0.006949064833296373
18.0,0.010424,0.006375636692089478
18.0,0.010424,0.003769737379603338
16.0,0.020848,0.0055070035879274315
15.0,0.010424,0.004638370483765385
16.0,0.010424,0.006375636692089478
13.0,0.020848,0.007539474759206677
20.0,0.010424,0.006162723862224819
19.0,0.020848,0.007899990070548911
19.0,0.010424,0.007031356966386865
19.0,0.020848,0.009932461241828157
19.0,0.010424,0.005802208550882583
