complexity,cost,feature_cost,freqs
3.0,1.0,0.25000000000000006,331
1.0,1.986758,0.41445976333898116,100
6.0,0.0,0.08333333333333334,83
5.0,0.43236,0.15539345711759509,11
4.0,0.986758,0.24779309667231453,7
5.0,0.56764,0.1779398762157383,7
5.0,1.0,0.21396993810786918,4
5.0,0.493379,0.16556321500282392,4
3.0,1.986758,0.3311264300056479,2
7.0,1.0,0.16666666666666669,2
7.0,1.233628,0.29969094233827476,1
5.0,0.493379,0.16556321500282395,1
3.0,1.0,0.4133563116751384,1
5.0,1.0,0.2875411322330734,1
5.0,1.126155,0.3044284335552097,1
9.0,1.556456,0.3584364234661707,1
6.0,0.493379,0.2477930966723145,1
8.0,0.0,0.0653183023872679,1
10.0,0.0,0.04166666666666667,1
