complexity,cost,feature_cost,freqs
1.0,1.964078,0.4106797941347049,310
3.0,1.0,0.25000000000000006,109
6.0,0.964078,0.16067979413470485,32
6.0,0.0,0.08333333333333334,31
3.0,1.964078,0.32734646080137153,20
4.0,0.964078,0.24401312746803822,12
5.0,1.482039,0.24700656373401914,3
6.0,0.964078,0.2856797941347049,2
5.0,0.964078,0.20234646080137153,2
5.0,1.464078,0.24401312746803822,2
5.0,0.482039,0.16367323040068577,2
14.0,0.0,0.0,2
5.0,1.464078,0.24401312746803822,1
8.0,0.723059,0.12050984560102863,1
3.0,1.0,0.40768635786872404,1
5.0,1.0,0.29116392741778285,1
5.0,1.482039,0.24700656373401914,1
7.0,1.0,0.16666666666666669,1
8.0,1.60874,0.36394126713844177,1
7.0,0.723059,0.1621765122676953,1
