complexity,cost,feature_cost
14.0,0.0,0.0
12.0,0.24669,0.0
13.0,0.21618,0.0
13.0,0.24669,0.0
13.0,0.563077,0.0
13.0,0.24669,0.0
11.0,0.493379,0.0
13.0,0.28382,0.0
11.0,0.5,0.0
13.0,0.616814,0.0
12.0,0.24669,0.0
10.0,0.493379,0.0
13.0,0.563077,0.0
13.0,0.616814,0.0
9.0,0.993379,0.0
12.0,0.0,0.10809018567639257
12.0,0.24669,0.10809018567639257
11.0,0.28382,0.10809018567639257
11.0,0.24669,0.10809018567639257
12.0,0.616814,0.10809018567639257
14.0,0.0,0.13075589331772322
12.0,0.21618,0.13075589331772322
12.0,0.24669,0.13075589331772322
12.0,0.24669,0.13075589331772322
12.0,0.563077,0.13075589331772322
13.0,0.24669,0.18678929255942958
11.0,0.493379,0.18678929255942958
13.0,0.0,0.10809018567639257
12.0,0.24669,0.10809018567639257
12.0,0.24669,0.10809018567639257
13.0,0.28382,0.10809018567639257
13.0,0.616814,0.10809018567639257
13.0,0.21618,0.17131889099306927
12.0,0.5,0.17131889099306927
15.0,0.24669,0.18678929255942955
13.0,0.493379,0.18678929255942955
13.0,0.563077,0.2279246645551443
12.0,0.0,0.13075589331772322
11.0,0.24669,0.13075589331772322
12.0,0.21618,0.13075589331772322
11.0,0.24669,0.13075589331772322
12.0,0.563077,0.13075589331772322
12.0,0.24669,0.18678929255942958
12.0,0.493379,0.18678929255942958
14.0,0.28382,0.20086249671702397
14.0,0.5,0.20086249671702397
12.0,0.616814,0.23884607899411583
13.0,0.24669,0.18678929255942958
12.0,0.493379,0.18678929255942958
13.0,0.563077,0.2279246645551443
12.0,0.616814,0.23884607899411583
11.0,0.993379,0.26936612228536355
14.0,0.0,0.11593375169074849
12.0,0.24669,0.11593375169074849
12.0,0.28382,0.11593375169074849
12.0,0.24669,0.11593375169074849
12.0,0.616814,0.11593375169074849
11.0,0.0,0.2466896450084717
9.0,0.24669,0.2466896450084717
12.0,0.0,0.22402393736714105
11.0,0.28382,0.22402393736714105
13.0,0.24669,0.30272304425017804
12.0,0.0,0.2466896450084717
10.0,0.24669,0.2466896450084717
14.0,0.28382,0.31679624840777243
13.0,0.24669,0.30272304425017804
11.0,0.616814,0.3547798306848643
12.0,0.0,0.1419098143236074
11.0,0.21618,0.1419098143236074
12.0,0.24669,0.1419098143236074
11.0,0.24669,0.1419098143236074
12.0,0.563077,0.1419098143236074
10.0,0.0,0.25
9.0,0.24669,0.25
11.0,0.0,0.25
10.0,0.24669,0.25
11.0,0.21618,0.3132287053166767
11.0,0.0,0.27266570764133063
10.0,0.21618,0.27266570764133063
11.0,0.24669,0.328699106883037
12.0,0.24669,0.328699106883037
11.0,0.563077,0.3698344788787517
13.0,0.24669,0.20797555001866477
11.0,0.493379,0.20797555001866477
11.0,0.24669,0.31606573569505736
12.0,0.24669,0.338731443336388
