complexity,cost,feature_cost,freqs
3.0,1.0,0.1853625170998632,331
1.0,1.986758,0.9808888141814466,100
6.0,0.0,0.0084359325125399,83
5.0,0.43236,0.0849320420290749,11
4.0,0.986758,0.8039622295941232,7
5.0,0.56764,0.10886640758332819,7
5.0,1.0,0.1817151510533274,4
5.0,0.493379,0.4061990810533315,4
3.0,1.986758,0.9724528816689066,2
7.0,1.0,0.1769265845873233,2
7.0,1.233628,0.6745022895173827,1
5.0,0.493379,0.4061990810533315,1
3.0,1.0,0.18525081337465887,1
5.0,1.0,0.18083862180807814,1
5.0,1.126155,0.6797290952484926,1
9.0,1.556456,0.8294903717063173,1
6.0,0.493379,0.4934909937421477,1
8.0,0.0,0.00661224948927199,1
10.0,0.0,0.00421796625626995,1
