complexity,cost,feature_cost,freqs
3.0,1.0,0.49999999999999994,331
1.0,1.986758,0.49999999999999994,100
6.0,0.0,0.49999999999999994,83
5.0,0.43236,0.49999999999999994,11
4.0,0.986758,0.49999999999999994,7
5.0,0.56764,0.49999999999999994,7
5.0,1.0,0.2838196286472148,4
5.0,0.493379,0.49999999999999994,4
3.0,1.986758,0.0,2
7.0,1.0,0.0,2
7.0,1.233628,0.3919098143236074,1
5.0,0.493379,0.49999999999999994,1
3.0,1.0,0.49337929001694336,1
5.0,1.0,0.23186750338149698,1
5.0,1.126155,0.49999999999999994,1
9.0,1.556456,0.45148236383853146,1
6.0,0.493379,0.49999999999999994,1
8.0,0.0,0.3919098143236074,1
10.0,0.0,0.25,1
