complexity,cost,feature_cost,freqs
1.0,1.964078,0.8675026640910233,310
3.0,1.0,0.39958158995815896,109
6.0,0.964078,0.4679210741328643,32
6.0,0.0,0.11506276150627615,31
3.0,1.964078,0.7524399025847471,20
4.0,0.964078,0.5829838356391405,12
5.0,1.482039,0.518479365518315,3
6.0,0.964078,0.5254524548860025,2
5.0,0.964078,0.5254524548860025,2
5.0,1.464078,0.6101804883588058,2
5.0,0.482039,0.3490232985727083,2
14.0,0.0,0.0,2
5.0,1.464078,0.6101804883588058,1
8.0,0.723059,0.35094080559964824,1
3.0,1.0,0.3954483934402774,1
5.0,1.0,0.34548924692737243,1
5.0,1.482039,0.518479365518315,1
7.0,1.0,0.2845188284518828,1
8.0,1.60874,0.7497496365883629,1
7.0,0.723059,0.4084721863527863,1
