complexity,cost,feature_cost,freqs
7.0,0.0,0.5,116
3.0,1.0,0.5,89
3.0,0.988291,0.5000000000000001,49
5.0,0.494146,0.5,47
1.0,1.988291,0.4999999999999998,42
5.0,0.5,0.49414555117671,28
7.0,0.5,0.2610296198534311,26
3.0,1.0,0.49414555117671,23
7.0,1.0,0.0,20
5.0,1.0,0.2610296198534311,13
10.0,0.5,0.0,13
5.0,0.436384,0.5,11
12.0,0.0,0.0,11
5.0,1.0,0.2331159313232789,10
5.0,0.494146,0.5000000000000001,9
9.0,0.718192,0.0,6
8.0,0.5,0.2331159313232789,3
9.0,0.5,0.13051480992671555,3
9.0,0.0,0.35909598214285715,3
7.0,0.718192,0.2331159313232789,2
9.0,0.247073,0.43751106933513384,2
9.0,0.0,0.35909598214285715,2
9.0,0.218192,0.2818080357142857,2
9.0,0.0,0.2610296198534311,2
5.0,1.0,0.2181919642857143,1
7.0,0.436384,0.35909598214285715,1
7.0,0.718192,0.2610296198534311,1
7.0,0.436384,0.2818080357142857,1
9.0,0.436384,0.14090401785714285,1
7.0,0.741218,0.25000000000000006,1
7.0,0.712338,0.322443159186607,1
9.0,0.247073,0.3806103540407745,1
10.0,0.247073,0.23970633618363163,1
9.0,0.247073,0.4112215795933035,1
12.0,0.465265,0.1612215795933035,1
7.0,0.563616,0.2181919642857143,1
7.0,0.5,0.36363074124999445,1
7.0,0.5,0.36363074124999445,1
10.0,0.5,0.295361943221461,1
10.0,0.5,0.16484713329474543,1
9.0,0.0,0.39090401785714285,1
