complexity,cost,feature_cost,freqs
7.0,0.0,0.08333333333333334,116
3.0,1.0,0.25,89
3.0,0.988291,0.24804851705890338,49
5.0,0.494146,0.16569092519611836,47
1.0,1.988291,0.41471518372556987,42
5.0,0.5,0.33040610892168837,28
7.0,0.5,0.20919586183835687,26
3.0,1.0,0.41373944225502174,23
7.0,1.0,0.16666666666666666,20
5.0,1.0,0.2925291951716902,13
10.0,0.5,0.08333333333333334,13
5.0,0.436384,0.15606398809523814,11
12.0,0.0,0.0,11
5.0,1.0,0.2878769137499982,10
5.0,0.494146,0.16569092519611836,9
9.0,0.718192,0.11969866071428573,6
8.0,0.5,0.20454358041666484,3
9.0,0.5,0.14626459758584512,3
9.0,0.0,0.05984933035714286,3
7.0,0.718192,0.24090890779761723,2
9.0,0.247073,0.13075221733561382,2
9.0,0.0,0.05984933035714286,2
9.0,0.218192,0.08333333333333334,2
9.0,0.0,0.12586252850502352,2
5.0,1.0,0.20303199404761907,1
7.0,0.436384,0.13257998511904764,1
7.0,0.718192,0.2455611892193093,1
7.0,0.436384,0.11969866071428573,1
9.0,0.436384,0.09621465773809525,1
7.0,0.741218,0.16520305446084418,1
7.0,0.712338,0.20140964006168646,1
9.0,0.247073,0.12126876478655392,1
10.0,0.247073,0.09778476181036344,1
9.0,0.247073,0.1241888230070337,1
12.0,0.465265,0.11888748372131942,1
7.0,0.563616,0.1303013392857143,1
7.0,0.5,0.2674748446691766,1
7.0,0.5,0.2674748446691766,1
10.0,0.5,0.1914669001491319,1
10.0,0.5,0.12853563589662012,1
9.0,0.0,0.06515066964285715,1
