1	305
2	1
3	262
4	332
5	64
6	111
7	5
8	116
9	497
10	398
11	120
12	121
13	191
14	245
15	220
16	109
17	323
18	102
19	11
20	13
21	134
22	119
23	11
24	17
25	91
26	160
27	329
28	132
29	17
30	85
31	138
32	386
33	298
34	180
35	304
36	340
37	393
38	392
39	382
40	422
41	373
42	188
43	471
44	326
45	297
46	29
47	32
48	13
49	378
50	56
51	86
52	61
53	36
54	272
55	104
56	49
57	472
58	35
59	16
60	216
61	35
62	473
63	192
64	14
65	65
66	59
67	4
68	463
69	179
70	173
71	167
72	68
73	106
74	238
75	107
76	360
77	359
78	230
79	125
80	248
81	489
82	376
83	383
84	338
85	124
86	244
87	53
88	246
89	48
90	87
91	415
92	153
93	39
94	15
95	4
96	380
97	57
98	178
99	406
100	390
101	169
102	328
103	103
104	291
105	80
106	73
107	243
108	190
109	170
110	15
111	63
112	168
113	5
114	189
115	108
116	3
117	296
118	183
119	193
120	235
121	286
122	287
123	465
124	25
125	217
126	30
127	275
128	327
129	31
130	302
131	143
132	339
133	28
134	231
135	491
136	462
137	8
138	341
139	3
140	311
141	255
142	343
143	8
144	309
145	419
146	2
147	25
148	2
149	8
150	18
151	254
152	3
153	26
154	2
155	387
156	2
157	26
158	18
159	31
160	334
161	342
162	292
163	301
164	474
165	475
166	499
167	201
168	404
169	377
170	403
171	368
172	506
173	420
174	435
175	507
176	401
177	37
178	38
179	487
180	389
181	455
182	136
183	460
184	207
185	394
186	3
187	30
188	337
189	490
190	432
191	265
192	405
193	414
194	388
195	200
196	274
197	266
198	407
199	268
200	457
201	492
202	476
203	517
204	467
205	370
206	488
207	413
208	518
209	477
210	500
211	496
212	379
213	385
214	353
215	402
216	434
217	242
218	391
219	185
220	399
221	418
222	194
223	218
224	184
225	375
226	411
227	258
228	6
229	421
230	509
231	259
232	140
233	408
234	33
235	409
236	129
237	372
238	157
239	277
240	250
241	43
242	260
243	156
244	257
245	42
246	97
247	41
248	410
249	92
250	33
251	95
252	115
253	155
254	110
255	75
256	126
257	247
258	79
259	93
260	165
261	96
262	70
263	90
264	306
265	74
266	4
267	448
268	454
269	424
270	446
271	444
272	453
273	445
274	239
275	29
276	60
277	81
278	221
279	113
280	44
281	127
282	133
283	54
284	135
285	333
286	395
287	67
288	10
289	50
290	83
291	69
292	139
293	84
294	251
295	441
296	16
297	440
298	159
299	150
300	146
301	145
302	166
303	51
304	45
305	384
306	82
307	78
308	52
309	77
310	105
311	214
312	12
313	171
314	47
315	55
316	443
317	174
318	148
319	9
320	112
321	10
322	436
323	417
324	12
325	213
326	447
327	71
328	210
329	131
330	123
331	224
332	229
333	122
334	158
335	58
336	9
337	40
338	147
339	72
340	76
341	161
342	98
343	46
344	128
345	118
346	162
347	32
348	28
349	345
350	285
351	264
352	249
353	263
354	316
355	307
356	369
357	280
358	23
359	181
360	355
361	267
362	356
363	461
364	366
365	284
366	237
367	196
368	88
369	283
370	428
371	236
372	357
373	7
374	99
375	94
376	100
377	130
378	21
379	7
380	23
381	484
382	437
383	485
384	308
385	20
386	464
387	468
388	478
389	34
390	450
391	493
392	486
393	319
394	495
395	479
396	438
397	381
398	439
399	498
400	431
401	508
402	494
403	501
404	505
405	502
406	482
407	456
408	34
409	511
410	513
411	504
412	449
413	480
414	458
415	483
416	423
417	19
418	142
419	481
420	232
421	198
422	89
423	199
424	325
425	27
426	335
427	324
428	27
429	312
430	314
431	322
432	241
433	349
434	313
435	177
436	233
437	234
438	225
439	227
440	228
441	321
442	197
443	352
444	289
445	1
446	288
447	215
448	226
449	350
450	294
451	412
452	101
453	303
454	222
455	396
456	176
457	114
458	515
459	452
460	204
461	149
462	470
463	429
464	211
465	427
466	256
467	172
468	433
469	202
470	137
471	426
472	510
473	514
474	516
475	503
476	519
477	269
478	270
479	512
480	24
481	276
482	330
483	354
484	261
485	14
486	273
487	20
488	19
489	141
490	278
491	7
492	154
493	320
494	466
495	361
496	290
497	430
498	206
499	164
500	279
501	351
502	317
503	348
504	293
505	271
506	362
507	300
508	299
509	21
510	187
511	252
512	253
513	281
514	295
515	22
516	397
517	186
518	209
519	1
520	5
521	6
522	365
523	364
524	363
525	336
526	62
527	425
528	195
529	219
530	151
531	240
532	374
533	152
534	175
535	367
536	205
537	520
538	371
539	459
540	182
541	451
542	212
543	6
544	223
545	358
546	318
547	163
548	1
549	442
550	203
551	416
552	347
553	344
554	400
555	117
556	66
557	144
558	331
559	208
560	282
561	346
562	24
563	22
564	469
565	315
566	310
