136,1,1,1,1,2,3,2,3,2,3
63,1,2,1,2,3,4,3,4,3,4
61,1,1,1,1,2,3,4,4,4,4
56,1,1,1,1,2,3,1,1,1,1
50,1,2,1,2,3,4,1,2,1,2
49,1,2,1,2,1,2,1,2,1,2
48,1,2,1,2,3,4,5,6,5,6
15,1,1,1,1,2,3,4,4,5,5
12,1,2,1,2,3,4,5,5,5,5
11,1,1,2,2,3,4,5,5,6,6
8,1,1,1,1,2,3,4,5,4,5
3,1,1,1,1,2,3,4,5,6,7
3,1,2,1,2,1,3,1,3,1,3
3,1,2,1,2,3,4,5,6,7,8
2,1,2,1,2,3,2,3,2,3,2
2,1,2,1,2,3,4,1,5,1,5
1,1,1,2,2,3,4,1,1,2,2
1,1,1,2,2,3,4,5,5,6,7
1,1,2,1,2,3,2,1,2,1,2
1,1,2,1,2,3,4,1,5,1,2
1,1,2,1,2,3,4,5,5,6,6
1,1,2,3,3,1,2,1,2,1,2
1,1,2,3,4,5,6,1,2,3,4
