116,1,2,3,4,1,2,3,4
89,1,1,2,2,1,1,2,2
49,1,2,1,2,1,2,1,2
47,1,2,1,3,1,2,1,3
42,1,1,1,1,1,1,1,1
28,1,2,3,3,3,3,1,2
26,1,2,3,3,4,4,1,2
23,1,1,2,2,2,2,1,1
20,1,1,2,2,3,3,4,4
13,1,1,2,2,3,3,1,1
13,1,2,3,3,4,4,5,6
11,1,1,2,3,1,1,2,3
11,1,2,3,4,5,6,7,8
10,1,1,2,2,2,2,3,3
9,1,2,3,2,1,2,3,2
6,1,1,2,2,3,3,4,5
3,1,2,3,3,3,3,4,5
3,1,2,3,3,4,4,1,5
3,1,2,3,4,1,2,3,5
2,1,1,2,2,2,2,3,4
2,1,2,3,4,1,2,1,4
2,1,2,3,4,1,2,5,4
2,1,2,3,4,5,5,3,4
2,1,2,3,4,5,6,1,2
1,1,1,2,2,1,1,3,3
1,1,1,2,3,1,1,2,4
1,1,1,2,3,4,4,1,1
1,1,1,2,3,4,4,2,3
1,1,1,2,3,4,4,2,5
1,1,2,1,2,3,2,4,2
1,1,2,1,2,3,3,1,2
1,1,2,1,3,1,2,4,3
1,1,2,1,3,1,2,4,5
1,1,2,1,3,4,2,1,3
1,1,2,1,3,4,4,1,5
1,1,2,3,3,1,2,4,4
1,1,2,3,3,3,3,1,4
1,1,2,3,3,3,3,4,2
1,1,2,3,3,4,4,1,3
1,1,2,3,3,4,4,3,5
1,1,2,3,4,5,2,3,4
