6,1,2,1,2,3,3,4,5,5,6,6,7,8,8,9,9,10,10,11,12,13,14,13,14,1,2,1,2,3,3,4,5,5,6,6,7,8,8,9,9,10,10,15,16,15,16,11,12,17,18,17,18,13,14,13,14
5,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,8,9,10,11,12,13,13,13,13,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,8,9,10,14,14,14,14,11,12,14,14,14,14,13,13,13,13
5,1,2,1,2,3,3,4,5,5,6,6,7,8,8,9,9,10,10,11,12,13,14,15,16,1,2,1,2,3,3,4,5,5,6,6,7,8,8,9,9,10,10,17,18,17,18,11,12,19,20,19,20,13,14,15,16
4,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,8,9,10,11,12,13,14,13,14,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,8,9,10,15,16,15,16,11,12,11,12,11,12,13,14,13,14
4,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,7,8,8,9,10,11,12,11,12,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,7,8,8,9,10,9,10,9,10,9,10,9,10,11,12,11,12
4,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,8,7,8,9,10,11,11,11,11,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,8,7,8,12,12,12,12,9,10,12,12,12,12,11,11,11,11
3,1,1,1,1,2,2,2,3,3,2,2,4,4,4,5,5,6,6,7,8,9,9,9,9,1,1,1,1,2,2,2,3,3,2,2,4,4,4,6,6,5,5,10,10,10,10,7,8,7,8,7,8,9,9,9,9
3,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,7,7,8,9,10,10,10,10,1,1,1,1,2,2,2,3,3,4,4,5,5,5,7,7,6,6,11,11,11,11,8,9,8,9,8,9,10,10,10,10
3,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,7,8,8,9,10,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,8,8,6,7,11,11,11,11,9,10,9,10,9,10,1,1,1,1
3,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,7,8,8,9,10,11,11,11,11,1,1,1,1,2,2,2,3,3,4,4,5,5,5,8,8,6,7,12,12,12,12,9,10,9,10,9,10,11,11,11,11
3,1,2,1,2,3,3,3,4,4,3,3,5,5,5,6,7,6,7,8,9,10,10,10,10,1,2,1,2,3,3,3,4,4,3,3,5,5,5,6,7,6,7,11,11,11,11,8,9,8,9,8,9,10,10,10,10
3,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,9,10,11,11,11,11,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,12,12,12,12,9,10,9,10,9,10,11,11,11,11
3,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,8,7,9,10,11,12,12,12,12,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,8,7,9,13,14,13,14,10,11,10,11,10,11,12,12,12,12
3,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,8,7,9,10,11,12,12,12,12,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,8,7,9,13,13,13,13,10,11,13,13,13,13,12,12,12,12
3,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,8,9,10,11,12,13,13,13,13,1,2,1,2,3,3,4,5,5,3,3,6,5,5,7,8,9,10,11,12,11,12,11,12,11,12,11,12,13,13,13,13
3,1,2,1,2,3,3,4,5,5,6,6,7,8,8,9,9,10,10,11,12,13,14,13,14,1,2,1,2,3,3,4,5,5,6,6,7,8,8,9,9,10,10,15,15,15,15,11,12,16,16,16,16,13,14,13,14
3,1,2,1,2,3,3,4,5,5,6,6,7,8,8,9,10,9,11,12,13,14,14,14,14,1,2,1,2,3,3,4,5,5,6,6,7,8,8,9,10,9,11,15,16,15,16,12,13,17,18,17,18,14,14,14,14
2,1,1,1,1,2,2,2,3,3,2,2,3,3,3,4,4,4,4,5,6,1,1,1,1,1,1,1,1,2,2,2,3,3,2,2,3,3,3,4,4,4,4,7,8,7,8,5,6,7,8,7,8,1,1,1,1
2,1,1,1,1,2,2,2,3,3,2,2,4,4,4,5,5,6,6,7,8,9,9,9,9,1,1,1,1,2,2,2,3,3,2,2,4,4,4,5,5,6,6,10,10,10,10,7,8,7,8,7,8,9,9,9,9
2,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,6,6,7,8,9,9,9,9,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,6,6,10,10,10,10,7,8,7,8,7,8,9,9,9,9
2,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,7,6,8,9,10,11,11,11,11,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,7,6,8,12,13,12,13,9,10,12,13,12,13,11,11,11,11
2,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,7,8,8,9,10,11,11,11,11,1,1,1,1,2,2,2,3,3,4,4,5,5,5,12,12,6,7,13,13,13,13,9,10,9,10,9,10,11,11,11,11
2,1,1,1,1,2,3,4,5,5,6,6,7,8,9,10,11,12,12,13,14,15,15,15,15,1,1,1,1,2,3,4,5,5,6,6,7,8,9,12,12,10,11,16,16,16,16,13,14,13,14,13,14,15,15,15,15
2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,3,3,4,4,5,6,5,6,5,6,1,2,1,2,1,1,1,2,2,1,1,2,2,2,4,4,3,3,7,8,7,8,5,6,7,8,7,8,5,6,5,6
2,1,2,1,2,3,3,3,4,4,3,3,4,4,4,5,6,5,6,7,8,9,9,9,9,1,2,1,2,3,3,3,4,4,3,3,4,4,4,5,6,5,6,10,11,10,11,7,8,10,11,10,11,9,9,9,9
2,1,2,1,2,3,3,3,4,4,3,3,5,5,5,6,6,6,6,7,8,9,9,9,9,1,2,1,2,3,3,3,4,4,3,3,5,5,5,6,6,6,6,10,10,10,10,7,8,7,8,7,8,9,9,9,9
2,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,7,7,7,8,9,10,10,10,10,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,7,7,7,11,11,11,11,8,9,8,9,8,9,10,10,10,10
2,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,9,10,11,11,11,11,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,12,12,12,12,9,10,13,13,13,13,11,11,11,11
2,1,2,1,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,9,10,11,11,11,11,1,2,1,2,3,3,3,4,4,5,5,6,6,6,8,8,7,7,12,12,12,12,9,10,9,10,9,10,11,11,11,11
