kin,gen,sex,scr,ra,lin,ss
,,0.2551487414187643,0.414187643020595,0.014874141876430207,0.31578947368421056,
,,0.806201550387597,0.17692658458732333,,,0.016871865025079803
,,0.4853556485355649,0.28451882845188287,,,0.23012552301255232
,,,0.4990878290330988,0.04560854834506124,0.44956997654417513,0.005733646077664843
,,0.48537111179550346,,0.3018170619032953,,0.2128118263012011
,,,0.5230326295585412,0.0395873320537428,0.430662188099808,0.0067178502879078695
