complexity,cost,feature_based_cost,freqs
8.0,0.160674,0.016032783327879458,136
9.0,0.145348,0.008370321992037463,63
6.0,0.061488,0.016866618537135985,61
4.0,0.092324,0.018408314402587975,56
5.0,0.061672,0.0030833917309039944,50
4.0,0.260209,0.015199220497133143,49
8.0,0.030836,0.0015416958654519972,48
9.0,0.04607,0.01609577060440998,15
7.0,0.046162,0.00920415720129399,12
11.0,0.030652,0.01532492267168398,11
7.0,0.046162,0.00920415720129399,8
11.0,0.030744,0.00843330926856799,3
8.0,0.197962,0.01149509136078658,3
12.0,0.015418,0.0007708479327259985,3
8.0,0.207595,0.012074451128384029,2
8.0,0.044852,0.0022424667133847235,2
7.0,0.061488,0.016866618537135985,1
12.0,0.022989,0.011493692003762986,1
6.0,0.16915,0.009650566526419047,1
10.0,0.048026,0.0024011676598801966,1
10.0,0.030744,0.008433309268567989,1
9.0,0.202689,0.015230527452336886,1
9.0,0.030836,0.0015416958654519972,1
