complexity,cost,feature_based_cost,freqs
8.0,0.160674,0.08443578081153572,136
9.0,0.145348,0.07753956560927792,63
6.0,0.061488,0.027667693193583563,61
4.0,0.092324,0.041542955982651536,56
5.0,0.061672,0.027750525578135947,50
4.0,0.260209,0.1411719885290245,49
8.0,0.030836,0.013875262789067973,48
9.0,0.04607,0.02073006179904957,15
7.0,0.046162,0.020771477991325768,12
11.0,0.030652,0.013792430404515584,11
7.0,0.046162,0.020771477991325768,8
11.0,0.030744,0.01383384659679178,3
8.0,0.197962,0.10665085572923824,3
12.0,0.015418,0.006937631394533988,3
8.0,0.207595,0.11206069840906419,2
8.0,0.044852,0.02018220042046251,2
7.0,0.061488,0.027667693193583563,1
12.0,0.022989,0.010344322803386688,1
6.0,0.16915,0.08924238402725207,1
10.0,0.048026,0.021610508938921767,1
10.0,0.030744,0.01383384659679178,1
9.0,0.202689,0.10933883895804203,1
9.0,0.030836,0.013875262789067973,1
