complexity,cost,feature_based_cost,freqs
3.0,1.0,0.30000000000000004,331
1.0,1.986758,0.4973517160067774,100
6.0,0.0,0.1,83
5.0,0.43236,0.18647214854111407,11
4.0,0.986758,0.29735171600677734,7
5.0,0.56764,0.21352785145888595,7
5.0,1.0,0.25676392572944295,4
5.0,0.493379,0.1986758580033887,4
3.0,1.986758,0.39735171600677743,2
7.0,1.0,0.2,2
7.0,1.233628,0.3596291308059297,1
5.0,0.493379,0.1986758580033887,1
3.0,1.0,0.2,1
5.0,1.0,0.2,1
5.0,1.126155,0.36531412026625165,1
9.0,1.556456,0.4029509552717931,1
6.0,0.493379,0.29735171600677734,1
8.0,0.0,0.07838196286472149,1
10.0,0.0,0.05,1
