complexity,cost,feature_based_cost,freqs
6.0,0.041696,0.10833887779995567,151
7.0,0.187231,0.13149431066137374,143
4.0,0.083392,0.11667775559991131,88
3.0,0.333407,0.17579856545769168,65
9.0,0.020848,0.10416943889997785,63
7.0,0.041696,0.10833887779995567,15
10.0,0.0,0.10000000000000002,14
9.0,0.041696,0.10625415834996675,7
8.0,0.187231,0.1294095912113848,4
9.0,0.020848,0.10416943889997785,4
9.0,0.020848,0.10416943889997785,2
9.0,0.020848,0.10416943889997785,1
11.0,0.103959,0.11779968549986182,1
