complexity,cost,feature_based_cost,freqs
7.0,0.0,0.0,116
3.0,1.0,0.0,89
3.0,0.988291,0.49414555117671,49
5.0,0.494146,0.247072775588355,47
1.0,1.988291,0.49414555117671,42
5.0,0.5,0.0,28
7.0,0.5,0.0,26
3.0,1.0,0.0,23
7.0,1.0,0.0,20
5.0,1.0,0.0,13
10.0,0.5,0.0,13
5.0,0.436384,0.0,11
12.0,0.0,0.0,11
5.0,1.0,0.0,10
5.0,0.494146,0.247072775588355,9
9.0,0.718192,0.0,6
8.0,0.5,0.0,3
9.0,0.5,0.0,3
9.0,0.0,0.0,3
7.0,0.718192,0.0,2
9.0,0.247073,0.1235363877941775,2
9.0,0.0,0.0,2
9.0,0.218192,0.0,2
9.0,0.0,0.0,2
5.0,1.0,0.0,1
7.0,0.436384,0.0,1
7.0,0.718192,0.0,1
7.0,0.436384,0.0,1
9.0,0.436384,0.0,1
7.0,0.741218,0.37060916338253247,1
7.0,0.712338,0.247072775588355,1
9.0,0.247073,0.1235363877941775,1
10.0,0.247073,0.1235363877941775,1
9.0,0.247073,0.1235363877941775,1
12.0,0.465265,0.1235363877941775,1
7.0,0.563616,0.0,1
7.0,0.5,0.0,1
7.0,0.5,0.0,1
10.0,0.5,0.0,1
10.0,0.5,0.0,1
9.0,0.0,0.0,1
