complexity,cost,feature_based_cost,freqs
1.0,1.964078,1.9640787648082294,310
3.0,1.0,1.0,109
6.0,0.964078,0.9640787648082291,32
6.0,0.0,0.0,31
3.0,1.964078,1.9640787648082294,20
4.0,0.964078,0.9640787648082291,12
5.0,1.482039,1.4820393824041147,3
6.0,0.964078,0.9640787648082291,2
5.0,0.964078,0.9640787648082291,2
5.0,1.464078,1.4640787648082292,2
5.0,0.482039,0.4820393824041145,2
14.0,0.0,0.0,2
5.0,1.464078,1.4640787648082292,1
8.0,0.723059,0.7230590736061717,1
3.0,1.0,1.0,1
5.0,1.0,1.0,1
5.0,1.482039,1.4820393824041147,1
7.0,1.0,1.0,1
8.0,1.60874,1.608740337880168,1
7.0,0.723059,0.7230590736061717,1
