complexity,cost,feature_based_cost,freqs
1.0,1.964078,0.29281575296164586,310
3.0,1.0,0.1,109
6.0,0.964078,0.19281575296164583,32
6.0,0.0,0.1,31
3.0,1.964078,0.19281575296164583,20
4.0,0.964078,0.29281575296164586,12
5.0,1.482039,0.09640787648082291,3
6.0,0.964078,0.19281575296164583,2
5.0,0.964078,0.24281575296164581,2
5.0,1.464078,0.19281575296164583,2
5.0,0.482039,0.19640787648082292,2
14.0,0.0,0.0,2
5.0,1.464078,0.19281575296164583,1
8.0,0.723059,0.14461181472123436,1
3.0,1.0,0.0,1
5.0,1.0,0.0,1
5.0,1.482039,0.09640787648082291,1
7.0,1.0,0.0,1
8.0,1.60874,0.24119251202047798,1
7.0,0.723059,0.19461181472123434,1
