complexity,cost,feature_based_cost,freqs
1.0,1.964078,0.24101969120205727,310
3.0,1.0,0.0,109
6.0,0.964078,0.24101969120205727,32
6.0,0.0,0.0,31
3.0,1.964078,0.24101969120205727,20
4.0,0.964078,0.24101969120205727,12
5.0,1.482039,0.12050984560102863,3
6.0,0.964078,0.24101969120205727,2
5.0,0.964078,0.24101969120205727,2
5.0,1.464078,0.24101969120205727,2
5.0,0.482039,0.12050984560102862,2
14.0,0.0,0.0,2
5.0,1.464078,0.24101969120205727,1
8.0,0.723059,0.18076476840154293,1
3.0,1.0,0.0,1
5.0,1.0,0.0,1
5.0,1.482039,0.12050984560102863,1
7.0,1.0,0.0,1
8.0,1.60874,0.20079619558115303,1
7.0,0.723059,0.18076476840154293,1
