complexity,cost,feature_based_cost,freqs
7.0,0.0,0.0,116
3.0,1.0,0.02,89
3.0,0.988291,0.5040284622002442,49
5.0,0.494146,0.2520142311001221,47
1.0,1.988291,0.5240284622002442,42
5.0,0.5,0.01,28
7.0,0.5,0.01,26
3.0,1.0,0.02,23
7.0,1.0,0.02,20
5.0,1.0,0.02,13
10.0,0.5,0.01,13
5.0,0.436384,0.008727678571428572,11
12.0,0.0,0.0,11
5.0,1.0,0.02,10
5.0,0.494146,0.2520142311001221,9
9.0,0.718192,0.014363839285714285,6
8.0,0.5,0.01,3
9.0,0.5,0.01,3
9.0,0.0,0.0,3
7.0,0.718192,0.014363839285714285,2
9.0,0.247073,0.12600711555006106,2
9.0,0.0,0.0,2
9.0,0.218192,0.004363839285714286,2
9.0,0.0,0.0,2
5.0,1.0,0.02,1
7.0,0.436384,0.008727678571428572,1
7.0,0.718192,0.014363839285714285,1
7.0,0.436384,0.008727678571428572,1
9.0,0.436384,0.008727678571428572,1
7.0,0.741218,0.37802134665018317,1
7.0,0.712338,0.2563780703858364,1
9.0,0.247073,0.12600711555006106,1
10.0,0.247073,0.12600711555006106,1
9.0,0.247073,0.12600711555006106,1
12.0,0.465265,0.13037095483577535,1
7.0,0.563616,0.011272321428571428,1
7.0,0.5,0.01,1
7.0,0.5,0.01,1
10.0,0.5,0.01,1
10.0,0.5,0.01,1
9.0,0.0,0.0,1
