complexity,cost,feature_based_cost,freqs
8.0,0.160674,0.01072250582318567,136
9.0,0.145348,0.002906795260626837,63
6.0,0.061488,0.01624809947129846,61
4.0,0.092324,0.016864777817479252,56
5.0,0.061672,0.0012333566923615979,50
4.0,0.260209,0.005203887387888016,49
8.0,0.030836,0.0006166783461807989,48
9.0,0.04607,0.015939760298208063,15
7.0,0.046162,0.00843238890873963,12
11.0,0.030652,0.015631421125117662,11
7.0,0.046162,0.008432388908739631,8
11.0,0.030744,0.00812404973564923,3
8.0,0.197962,0.003959029847882827,3
12.0,0.015418,0.0003083391730903994,3
8.0,0.207595,0.0041516528006320256,2
8.0,0.044852,0.0008969866853538893,2
7.0,0.061488,0.01624809947129846,1
12.0,0.022989,0.011723565843838246,1
6.0,0.16915,0.003382769552671488,1
10.0,0.048026,0.0009604670639520784,1
10.0,0.030744,0.008124049735649229,1
9.0,0.202689,0.007808161935611755,1
9.0,0.030836,0.0006166783461807989,1
