1,1
2,4
3,2
5,1
6,1
7,4
8,2
9,1
10,1
11,1
12,1
13,1
14,5
15,1
16,1
17,1
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,7
34,2
35,10
36,1
37,3
38,3
39,1
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,2
57,2
58,3
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,2
89,2
90,3
91,3
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,2
102,4
103,1
104,1
105,1
106,2
107,2
108,2
109,2
110,2
111,2
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,4
127,3
128,7
129,6
130,6
131,1
132,1
133,1
134,1
135,1
136,8
137,2
138,2
139,3
141,11
142,8
143,2
144,5
145,5
146,5
147,5
148,5
149,1
150,7
151,2
152,2
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,4
165,4
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,2
180,3
181,4
182,1
183,8
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,8
234,8
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,3
243,3
244,3
245,3
246,3
247,7
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,1
287,1
288,2
289,2
290,2
291,2
292,2
293,2
294,4
295,4
296,1
297,1
298,1
299,1
300,1
301,2
302,2
303,2
304,9
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,9
337,2
338,2
339,2
340,9
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,9
365,9
366,2
367,2
368,2
369,2
370,3
371,3
372,3
373,3
374,12
375,3
376,6
377,3
378,3
379,3
380,3
381,1
382,1
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,7
408,7
409,7
410,7
411,7
412,10
413,6
414,6
415,1
416,1
417,1
418,1
419,4
420,3
421,7
422,3
423,2
424,13
425,1
426,1
427,4
428,4
429,4
430,2
431,2
432,3
433,1
434,3
435,3
436,1
437,2
438,3
439,3
440,1
441,2
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,8
452,1
453,1
454,1
455,3
456,3
457,4
458,4
459,2
460,1
461,1
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,3
488,3
489,3
490,3
491,7
492,3
493,2
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,7
510,7
511,6
512,6
513,6
514,6
515,6
516,6
517,6
518,6
519,6
520,6
