complexity,cost,freqs,feature_complexity,feature_cost
1.0,1.964078,310,1,0.8675026640910233
3.0,1.0,109,2,0.39958158995815896
6.0,0.964078,32,8,0.4679210741328643
6.0,0.0,31,8,0.11506276150627615
3.0,1.964078,20,2,0.7524399025847471
4.0,0.964078,12,2,0.5829838356391405
5.0,1.482039,3,5,0.518479365518315
6.0,0.964078,2,5,0.5254524548860025
5.0,0.964078,2,5,0.5254524548860025
5.0,1.464078,2,5,0.6101804883588058
5.0,0.482039,2,5,0.3490232985727083
14.0,0.0,2,24,0.0
5.0,1.464078,1,5,0.6101804883588058
8.0,0.723059,1,12,0.35094080559964824
3.0,1.0,1,2,0.3954483934402774
5.0,1.0,1,5,0.34548924692737243
5.0,1.482039,1,5,0.518479365518315
7.0,1.0,1,8,0.2845188284518828
8.0,1.60874,1,4,0.7497496365883629
7.0,0.723059,1,9,0.4084721863527863
