complexity,cost,freqs,feature_complexity,feature_cost
7.0,0.256095,168,2,0.17535409997756998
6.0,0.06088,151,3,0.005768957792027417
9.0,0.03044,89,6,0.0045639414679906586
4.0,0.12176,80,2,0.03761060126354418
3.0,0.452689,27,1,0.3184323564049674
10.0,0.0,15,9,0.0033589251439539005
7.0,0.06088,14,3,0.03520056861547066
8.0,0.248485,6,5,0.17525185616825778
9.0,0.05327,5,6,0.005666713982715208
9.0,0.03044,3,6,0.01927974687971228
7.0,0.12176,1,5,0.03740611364491976
12.0,0.02283,1,9,0.004461697658678449
13.0,0.112652,1,8,0.10299810647322022
