complexity,cost,freqs,feature_complexity,feature_cost
16.0,0.0,136.0,28,0.0
15.0,0.00841,63.0,24,0.0
16.0,0.00841,61.0,24,0.0
16.0,0.019994,56.0,22,0.0
16.0,0.00841,50.0,24,0.0
13.0,0.01682,49.0,20,0.0
16.0,0.019994,48.0,22,0.0
15.0,0.00841,15.0,24,0.0
14.0,0.01682,12.0,20,0.0
16.0,0.019994,11.0,22,0.0
16.0,0.019994,8.0,22,0.0
12.0,0.03364,3.0,18,0.0
15.0,0.007663,3.0,24,0.0019550673660100274
14.0,0.016073,3.0,20,0.0019550673660100274
14.0,0.016073,2.0,20,0.0019550673660100274
15.0,0.027657,2.0,18,0.0019550673660100274
16.0,0.018822,1.0,22,0.0026565646781431767
15.0,0.027232,1.0,18,0.0026565646781431767
16.0,0.007663,1.0,24,0.0019550673660100274
14.0,0.016073,1.0,20,0.0019550673660100274
15.0,0.016073,1.0,20,0.0019550673660100274
15.0,0.027657,1.0,18,0.0019550673660100274
16.0,0.018822,1.0,22,0.0026565646781431767
14.0,0.027232,,18,0.0026565646781431767
16.0,0.018822,,25,0.0026565646781431767
15.0,0.027232,,21,0.0026565646781431767
16.0,0.03217,,22,0.003106419743318678
15.0,0.047119,,19,0.0034388236397356075
15.0,0.007008,,24,0.0
12.0,0.015418,,20,0.0
14.0,0.015418,,20,0.0
14.0,0.027002,,18,0.0
14.0,0.015418,,20,0.0
12.0,0.023828,,16,0.0
14.0,0.027002,,18,0.0
14.0,0.015418,,20,0.0
11.0,0.023828,,16,0.0
15.0,0.027002,,18,0.0
15.0,0.027002,,18,0.0
11.0,0.040648,,14,0.0
16.0,0.01771,,22,0.0027304570103834956
15.0,0.02612,,18,0.0027304570103834956
15.0,0.02612,,18,0.0027304570103834956
16.0,0.037704,,16,0.0027304570103834956
15.0,0.007663,,24,0.0019550673660100274
14.0,0.015326,,20,0.003910134732020055
14.0,0.016073,,20,0.0019550673660100274
14.0,0.015326,,20,0.003910134732020055
15.0,0.026485,,18,0.004611632044153204
14.0,0.016073,,20,0.0019550673660100274
13.0,0.023736,,16,0.003910134732020055
15.0,0.027657,,18,0.0019550673660100274
15.0,0.026485,,21,0.004611632044153204
15.0,0.039833,,18,0.005061487109328705
16.0,0.018822,,22,0.0026565646781431767
15.0,0.026485,,18,0.004611632044153204
15.0,0.027232,,18,0.0026565646781431767
16.0,0.037645,,19,0.0053131293562863535
16.0,0.01183,,22,0.0027304570103834956
15.0,0.02024,,18,0.0027304570103834956
15.0,0.02024,,18,0.0027304570103834956
16.0,0.031824,,16,0.0027304570103834956
11.0,0.030744,,17,0.003910134732020056
10.0,0.039154,,13,0.003910134732020056
16.0,0.01771,,25,0.0027304570103834956
14.0,0.02612,,21,0.0027304570103834956
15.0,0.02612,,21,0.0027304570103834956
14.0,0.037704,,19,0.0027304570103834956
14.0,0.045453,,19,0.004707468682550341
16.0,0.007663,,24,0.0019550673660100274
14.0,0.015326,,20,0.003910134732020055
15.0,0.016073,,20,0.0019550673660100274
13.0,0.015326,,20,0.003910134732020055
14.0,0.026485,,18,0.004611632044153204
14.0,0.016073,,20,0.0019550673660100274
12.0,0.023736,,16,0.003910134732020055
15.0,0.026485,,18,0.004611632044153204
15.0,0.027657,,18,0.0019550673660100274
16.0,0.01771,,25,0.0027304570103834956
14.0,0.02612,,21,0.0027304570103834956
15.0,0.02612,,21,0.0027304570103834956
14.0,0.037704,,19,0.0027304570103834956
16.0,0.018822,,22,0.0026565646781431767
15.0,0.026485,,18,0.004611632044153204
14.0,0.027232,,18,0.0026565646781431767
14.0,0.026485,,18,0.004611632044153204
12.0,0.037645,,16,0.0053131293562863535
14.0,0.045453,,19,0.004707468682550341
16.0,0.018822,,25,0.0026565646781431767
15.0,0.026485,,21,0.004611632044153204
15.0,0.027232,,21,0.0026565646781431767
16.0,0.037645,,19,0.0053131293562863535
12.0,0.030744,,18,0.003910134732020055
11.0,0.039154,,14,0.003910134732020055
16.0,0.03217,,22,0.003106419743318678
15.0,0.039833,,18,0.005061487109328705
15.0,0.047119,,19,0.0034388236397356105
11.0,0.061473,,13,0.0053131293562863535
16.0,0.007663,,24,0.0019550673660100274
14.0,0.014671,,20,0.0019550673660100274
13.0,0.015326,,20,0.003910134732020055
14.0,0.025373,,21,0.004685524376393523
15.0,0.015326,,20,0.003910134732020055
12.0,0.022989,,16,0.005865202098030082
15.0,0.025373,,21,0.004685524376393523
14.0,0.016073,,20,0.0019550673660100274
13.0,0.023081,,16,0.0019550673660100274
14.0,0.026485,,21,0.004611632044153204
15.0,0.026485,,21,0.004611632044153204
11.0,0.038407,,14,0.005865202098030082
14.0,0.015326,,20,0.003910134732020055
12.0,0.022989,,16,0.005865202098030082
13.0,0.023736,,16,0.003910134732020055
13.0,0.034148,,17,0.006566699410163231
15.0,0.019493,,18,0.004685524376393523
