complexity,cost,freqs,feature_complexity,feature_cost
6.0,0.041696,151,3,0.004768443595246574
7.0,0.187231,143,2,0.1332581397595008
4.0,0.083392,88,2,0.025577605684007406
3.0,0.333407,65,1,0.24207984818855338
9.0,0.020848,63,6,0.003817633317039487
7.0,0.041696,15,3,0.02367598512759323
10.0,0.0,14,9,0.0028668230388324005
9.0,0.041696,7,6,0.004708678377759272
8.0,0.187231,4,5,0.1331983745420135
9.0,0.020848,4,6,0.013271404083212816
9.0,0.020848,2,6,0.013271404083212816
9.0,0.020848,1,6,0.003817633317039487
11.0,0.103959,1,5,0.07830227317734811
