complexity,cost,freqs,feature_complexity,feature_cost
18.0,0.0,168.0,28,0.0
17.0,0.01522,151.0,24,0.000602508162018379
17.0,0.0,89.0,24,5.112190465610437e-05
20.0,0.01522,80.0,22,0.0006835344638637467
17.0,0.0,27.0,24,5.112190465610437e-05
16.0,0.0,15.0,20,0.00010224380931220874
20.0,0.01522,14.0,22,0.0006835344638637467
17.0,0.01522,6.0,24,0.000602508162018379
16.0,0.03044,5.0,20,0.001205016324036758
20.0,0.01522,3.0,22,0.0006623169563969057
20.0,0.01522,1.0,22,0.0006623169563969057
15.0,0.03044,1.0,17,0.0013072601333489668
17.0,0.01522,1.0,24,0.00796041086787919
17.0,0.01522,,20,0.008011532772535294
16.0,0.03044,,20,0.00856291902989757
19.0,0.03044,,18,0.008622727824276095
17.0,0.0,,24,5.112190465610437e-05
16.0,0.01522,,20,0.0006536300666744834
17.0,0.0,,20,0.00010224380931220874
20.0,0.01522,,18,0.0007346563685198511
18.0,0.01522,,22,0.008041437169724558
17.0,0.01522,,18,0.008092559074380662
20.0,0.01522,,25,0.0006623169563969057
19.0,0.03044,,21,0.0012648251184152848
17.0,0.01522,,24,0.00796041086787919
15.0,0.03044,,20,0.01592082173575838
17.0,0.01522,,20,0.008011532772535294
16.0,0.01522,,20,0.008011532772535294
16.0,0.03044,,18,0.016001848037603746
16.0,0.03044,,20,0.00856291902989757
14.0,0.04566,,16,0.01652332989777676
19.0,0.03044,,18,0.008622727824276095
19.0,0.03044,,21,0.008622727824276095
17.0,0.01522,,24,0.000602508162018379
16.0,0.03044,,20,0.001205016324036758
16.0,0.01522,,20,0.0006536300666744834
19.0,0.03044,,18,0.001286042625882126
16.0,0.01522,,20,0.0006536300666744834
15.0,0.01522,,16,0.0007047519713305878
19.0,0.03044,,18,0.001286042625882126
16.0,0.03044,,20,0.001205016324036758
15.0,0.04566,,16,0.0018075244860551371
19.0,0.03044,,18,0.0012648251184152848
19.0,0.03044,,18,0.0012648251184152848
14.0,0.04566,,13,0.0019097682953673459
14.0,0.06088,,18,0.01712583805979514
13.0,0.0761,,14,0.017728346221813518
19.0,0.01522,,25,0.0006835344638637467
18.0,0.03044,,21,0.001286042625882126
19.0,0.01522,,21,0.0007346563685198511
20.0,0.03044,,19,0.0013670689277274935
17.0,0.0,,24,5.112190465610437e-05
16.0,0.01522,,20,0.008011532772535294
17.0,0.0,,20,0.00010224380931220874
15.0,0.0,,20,0.00010224380931220874
16.0,0.01522,,18,0.008092559074380662
16.0,0.01522,,20,0.0006536300666744834
14.0,0.01522,,16,0.0007047519713305878
20.0,0.01522,,18,0.0007346563685198511
