complexity,cost,freqs,feature_complexity,feature_cost
3.0,1.0,331,2,0.1853625170998632
1.0,1.986758,100,1,0.9808888141814466
6.0,0.0,83,8,0.0084359325125399
5.0,0.43236,11,5,0.0849320420290749
4.0,0.986758,7,2,0.8039622295941232
5.0,0.56764,7,5,0.10886640758332819
5.0,1.0,4,5,0.1817151510533274
5.0,0.493379,4,5,0.4061990810533315
3.0,1.986758,2,2,0.9724528816689066
7.0,1.0,2,8,0.1769265845873233
7.0,1.233628,1,9,0.6745022895173827
5.0,0.493379,1,5,0.4061990810533315
3.0,1.0,1,2,0.18525081337465887
5.0,1.0,1,5,0.18083862180807814
5.0,1.126155,1,3,0.6797290952484926
9.0,1.556456,1,4,0.8294903717063173
6.0,0.493379,1,5,0.49349099374214783
8.0,0.0,1,12,0.00661224948927199
10.0,0.0,1,16,0.00421796625626995
