complexity,cost,freqs,feature_complexity,feature_cost
8.0,0.160674,136,5,0.04006987548643118
9.0,0.145348,63,8,0.03615974075441113
6.0,0.061488,61,6,0.007820269464040111
4.0,0.092324,56,5,0.00782026946404011
5.0,0.061672,50,8,0.0
4.0,0.260209,49,2,0.06269258992936448
8.0,0.030836,48,12,0.0
9.0,0.04607,15,9,0.007820269464040111
7.0,0.046162,12,9,0.003910134732020056
11.0,0.030652,11,12,0.00782026946404011
7.0,0.046162,8,9,0.003910134732020056
11.0,0.030744,3,17,0.003910134732020056
8.0,0.197962,3,5,0.04834804993466744
12.0,0.015418,3,20,0.0
8.0,0.207595,2,5,0.05050428074910818
8.0,0.044852,2,10,0.0
7.0,0.061488,1,6,0.007820269464040111
12.0,0.022989,1,16,0.005865202098030082
6.0,0.16915,1,5,0.03393809779436669
10.0,0.048026,1,12,0.0
10.0,0.030744,1,12,0.003910134732020055
9.0,0.202689,1,4,0.0519642402195078
9.0,0.030836,1,12,0.0
